BtH400,Weekday
46.3333321,282
7.333333,132
128.8333282,33
2.3333333,168
2.3333333,252
33.3333321,17
51.3333321,435
113.8333282,192
76.3333435,209
1862.333252,144
1409.833252,56
1198.833252,239
113.8333282,111
3299.333252,96
2279.333252,805
428.833313,144
562.333313,144
235.3333282,85
645.333313,232
2929.833252,287
20.3333321,164
10.333333,26
1884.333252,429
42.8333321,238
14.833333,167
0.3333333,209
49.8333321,167
235.8333282,167
2428.833252,429
4.833333,680
13.833333,55
